gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength
9691-9691_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9691,LPL,2023,Spring,0,1/14/2023 7:23,1,13.01,1,Blue,top,Xiaolaohu,oe:player:0e42126e417733263459e2b54ae7e2a,FunPlus Phoenix,oe:team:33d17f3717f58e12a3da80b377221fb,K'Sante,Lucian,Varus,Syndra,LeBlanc,Viktor,1836
9691-9691_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9691,LPL,2023,Spring,0,1/14/2023 7:23,1,13.01,2,Blue,jng,haoye,oe:player:1e9df7dacc21aca9011a58eac5abae5,FunPlus Phoenix,oe:team:33d17f3717f58e12a3da80b377221fb,Vi,Lucian,Varus,Syndra,LeBlanc,Viktor,1836
9691-9691_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9691,LPL,2023,Spring,0,1/14/2023 7:23,1,13.01,3,Blue,mid,Care,oe:player:6bc43cc1537fa4ac6295b4899e972cf,FunPlus Phoenix,oe:team:33d17f3717f58e12a3da80b377221fb,Akali,Lucian,Varus,Syndra,LeBlanc,Viktor,1836
9691-9691_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9691,LPL,2023,Spring,0,1/14/2023 7:23,1,13.01,4,Blue,bot,Lwx,oe:player:ce76a8fc639b0cc96da48c76bc0bbeb,FunPlus Phoenix,oe:team:33d17f3717f58e12a3da80b377221fb,Caitlyn,Lucian,Varus,Syndra,LeBlanc,Viktor,1836
9691-9691_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9691,LPL,2023,Spring,0,1/14/2023 7:23,1,13.01,5,Blue,sup,Lele,oe:player:ad991b9f2f7e553d4eefb9f5d06afc9,FunPlus Phoenix,oe:team:33d17f3717f58e12a3da80b377221fb,Lux,Lucian,Varus,Syndra,LeBlanc,Viktor,1836
9691-9691_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9691,LPL,2023,Spring,0,1/14/2023 7:23,1,13.01,6,Red,top,Biubiu,oe:player:445af96e9e883e18105c9c6072d97a1,Team WE,oe:team:62c1cd9465dc63824593ee5046f5aa8,Renekton,Zeri,Ryze,Yuumi,Ahri,Fiora,1836
9691-9691_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9691,LPL,2023,Spring,0,1/14/2023 7:23,1,13.01,7,Red,jng,Heng,oe:player:92f0831b560a15d8be3be25275adb08,Team WE,oe:team:62c1cd9465dc63824593ee5046f5aa8,Maokai,Zeri,Ryze,Yuumi,Ahri,Fiora,1836
9691-9691_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9691,LPL,2023,Spring,0,1/14/2023 7:23,1,13.01,8,Red,mid,Shanks,oe:player:0e2f0d3ded24c190dd6a4b3d6f89f04,Team WE,oe:team:62c1cd9465dc63824593ee5046f5aa8,Azir,Zeri,Ryze,Yuumi,Ahri,Fiora,1836
9691-9691_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9691,LPL,2023,Spring,0,1/14/2023 7:23,1,13.01,9,Red,bot,Hope,oe:player:7cf68f44e5dc31827b1d3f0a3b4a28e,Team WE,oe:team:62c1cd9465dc63824593ee5046f5aa8,Kalista,Zeri,Ryze,Yuumi,Ahri,Fiora,1836
9691-9691_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9691,LPL,2023,Spring,0,1/14/2023 7:23,1,13.01,10,Red,sup,Iwandy,oe:player:db820b983e253a5e5926aa8cd8d1a82,Team WE,oe:team:62c1cd9465dc63824593ee5046f5aa8,Nautilus,Zeri,Ryze,Yuumi,Ahri,Fiora,1836
